ticker,candidate_score,close,chg_1d_pct,ma_stack_bull,ext_21ema_atr,rs_1m_vs_spy,rs_3m_vs_spy,inside_day,nr7,dist_52w_high_pct,vol_ratio_50d,dollar_vol_20d_m,dist_days_25
HPE,91.3,60.76,-0.459,True,1.353,15.363,26.227,True,False,-4.915,1.283,1462.579,4
CRWD,87.7,237.65,-3.276,True,1.336,18.577,36.547,True,False,-5.062,2.018,2804.367,5
NTAP,86.0,197.79,0.442,True,0.923,2.414,21.964,True,False,-5.391,1.919,481.135,5
DE,85.6,683.99,-0.239,True,1.116,18.514,14.126,False,True,-3.101,1.905,914.542,6
ANET,84.7,199.39,-0.07,True,0.696,7.653,15.261,True,False,-7.213,1.625,1011.681,2
VRSN,83.3,303.12,0.354,True,1.391,11.733,12.621,False,False,-2.711,1.929,203.96,4
AES,83.1,14.83,-0.135,True,0.987,1.597,0.398,True,False,-13.921,1.275,117.777,1
DGX,82.8,246.45,-0.404,True,1.227,2.652,24.643,False,False,-0.905,1.979,242.406,3
TECH,82.8,72.37,-0.055,True,0.648,0.671,22.788,False,False,-0.289,1.646,189.574,2
BBY,82.7,92.85,-1.808,True,1.374,5.885,23.296,True,True,-3.13,1.36,388.781,6
APA,82.6,44.87,-1.298,True,0.741,3.98,34.547,True,True,-5.417,2.196,243.411,5
ABBV,81.8,263.96,-0.023,True,0.945,-0.043,20.54,False,False,-1.312,1.665,1124.11,3
IQV,81.0,266.42,-1.121,True,0.921,7.588,56.545,False,True,-2.724,4.066,415.459,5
VLO,80.9,413.28,0.182,True,2.91,20.068,73.317,False,True,-0.811,3.388,1196.512,3
WAT,80.2,421.63,-1.883,True,0.862,2.105,16.367,False,False,-2.351,1.369,258.157,5
TRV,79.7,374.62,-1.283,True,0.454,4.489,19.866,False,False,-5.718,1.855,556.616,5
MPC,79.6,424.89,0.694,True,2.916,18.492,73.14,False,True,-0.727,4.174,1112.908,4
HPQ,79.4,34.4,-0.75,True,1.473,16.725,45.55,False,True,-5.051,2.312,573.569,6
KEYS,79.3,335.0,1.074,True,0.737,5.58,-10.139,True,True,-10.658,1.349,371.473,5
WDAY,79.0,193.87,-2.715,True,0.335,-1.581,63.545,True,False,-22.405,1.799,736.665,3
