ticker,group,date,close,chg_1d_pct,ema10,ema21,sma50,sma200,ma_stack_bull,ma_stack_bear,atr14,atr_pct,atr_vs_50d,ext_21ema_atr,ext_50sma_atr,volume,vol_ratio_50d,dollar_vol_20d_m,close_pos_in_bar,prior_20d_high,prior_20d_low,high_52w,low_52w,dist_52w_high_pct,inside_day,nr7,perf_1m,perf_3m,perf_6m,dist_days_25,rs_1m_vs_spy,rs_3m_vs_spy,rs_6m_vs_spy,rs_line_52w_high,rs_leads_price
DIA,market,2026-09-17,518.35,0.608,523.349,526.687,528.307,498.557,False,False,5.21,1.005,0.975,-1.6,-1.911,4204900.0,1.204,1752.684,0.437,537.73,512.29,546.297,448.277,-5.116,True,False,-2.652,0.783,12.738,9,-2.02,-2.403,-3.171,False,False
IWM,market,2026-09-17,285.43,0.532,288.26,291.33,294.681,273.306,False,False,3.523,1.234,0.884,-1.675,-2.626,22159600.0,1.114,5875.21,0.071,302.62,281.03,304.385,226.598,-6.227,False,False,-4.681,-1.278,16.599,10,-4.049,-4.464,0.69,False,False
QQQ,market,2026-09-17,716.92,1.731,711.753,712.606,709.988,661.24,False,False,9.489,1.324,0.749,0.455,0.731,37270300.0,1.059,21827.447,0.763,724.13,700.0,747.828,554.99,-4.133,False,False,-0.082,-0.665,20.796,6,0.55,-3.85,4.887,False,False
RSP,market,2026-09-17,213.31,0.485,215.053,216.658,217.272,203.812,False,False,1.923,0.901,0.941,-1.741,-2.061,5232800.0,0.737,1297.549,0.271,223.44,210.96,223.44,179.919,-4.534,True,False,-2.948,2.462,11.156,11,-2.316,-0.723,-4.753,False,False
SPY,market,2026-09-17,762.6,1.134,761.572,762.951,759.531,713.81,False,False,6.757,0.886,0.884,-0.052,0.454,49652800.0,1.148,30423.885,0.731,775.3,749.6,779.37,627.663,-2.152,False,False,-0.632,3.186,15.908,10,,,,,
CL=F,macro,2026-09-18,95.47,-6.319,98.179,94.029,86.303,80.655,False,False,4.464,4.676,1.095,0.323,2.053,300567.0,1.081,28.683,0.201,106.75,79.62,119.48,54.98,-20.095,False,True,11.232,24.634,-0.697,1,12.071,22.511,-16.892,False,False
DX-Y.NYB,macro,2026-09-18,100.215,-0.005,99.712,99.584,99.951,99.152,False,False,0.445,0.444,0.996,1.417,0.594,0.0,,,0.125,100.37,98.56,101.8,95.55,-1.557,False,False,1.401,-0.63,0.993,0,2.241,-2.754,-15.202,False,False
GC=F,macro,2026-09-18,4415.9,0.368,4413.614,4428.097,4325.07,4553.306,False,False,108.68,2.461,1.043,-0.112,0.836,138899.0,0.871,853.275,0.646,4755.0,4273.3,5586.2,3660.5,-20.95,False,False,-2.847,4.004,-4.121,5,-2.007,1.88,-20.316,False,False
HG=F,macro,2026-09-18,6.715,1.959,6.546,6.544,6.495,6.052,True,False,0.119,1.775,1.144,1.442,1.85,32909.0,19.292,0.027,0.918,6.806,6.281,6.806,4.522,-1.322,False,False,3.514,5.349,23.606,4,4.354,3.226,7.411,False,False
HYG,macro,2026-09-17,78.72,0.383,78.732,78.89,78.952,78.2,False,False,0.215,0.274,1.09,-0.788,-1.076,45356000.0,1.396,2865.597,0.667,79.534,78.36,79.534,75.718,-1.024,False,True,-0.476,0.219,2.174,2,0.156,-2.967,-13.735,False,False
