ticker,last_bar_et,close,ema21_4h,ema50_4h,above_ema21,ema21_slope_5,atr14_4h,ext_ema21_atr,vol_ratio_20,close_pos_in_bar,pivot_high,pivot_high_prev,pivot_high_time,pivot_low,pivot_low_prev,pivot_low_time,structure,bos_up,bos_down,dist_pivot_high_atr,dist_pivot_low_atr
SPY,2026-09-22 13:30,773.44,765.561,764.444,True,0.471,4.351,1.811,0.618,0.185,766.38,774.03,2026-09-11 09:30,749.6,756.64,2026-09-16 13:30,bear LH/LL,True,False,-1.623,5.479
QQQ,2026-09-22 13:30,747.465,723.133,717.879,True,1.45,6.258,3.888,0.794,0.749,717.62,721.886,2026-09-11 09:30,700.0,702.75,2026-09-16 13:30,bear LH/LL,True,False,-4.769,7.585
IWM,2026-09-22 13:30,287.15,287.672,291.192,False,-0.36,2.25,-0.232,0.855,0.231,288.28,291.44,2026-09-17 09:30,281.03,289.97,2026-09-16 13:30,bear LH/LL,False,False,0.502,2.72
DIA,2026-09-22 13:30,517.95,521.317,525.386,False,-0.369,3.353,-1.004,0.809,0.409,527.36,537.62,2026-09-11 09:30,512.29,519.8,2026-09-16 13:30,bear LH/LL,False,False,2.807,1.688
RSP,2026-09-22 13:30,212.76,214.219,216.081,False,-0.421,1.175,-1.242,0.653,0.061,215.78,220.28,2026-09-14 09:30,211.61,210.96,2026-09-21 09:30,contracting LH/HL,False,False,2.571,0.979
XLK,2026-09-22 13:30,196.26,189.231,186.958,True,1.673,2.018,3.484,1.117,0.762,188.64,189.08,2026-09-11 09:30,182.42,182.08,2026-09-16 13:30,contracting LH/HL,True,False,-3.776,6.859
XLE,2026-09-22 13:30,61.76,63.847,63.359,False,-1.144,0.883,-2.363,0.906,0.0,66.115,66.17,2026-09-15 13:30,63.46,64.34,2026-09-17 09:30,bear LH/LL,False,True,4.931,-1.925
XLB,2026-09-22 13:30,50.53,50.77,51.425,False,-0.77,0.47,-0.511,0.739,0.682,51.11,53.515,2026-09-16 09:30,49.655,50.58,2026-09-21 09:30,bear LH/LL,False,False,1.233,1.86
XLI,2026-09-22 13:30,170.29,170.832,173.917,False,-0.297,1.474,-0.368,0.577,0.688,171.51,172.915,2026-09-17 09:30,167.49,168.4,2026-09-16 13:30,bear LH/LL,False,False,0.828,1.899
XLC,2026-09-22 13:30,113.52,113.026,112.413,True,0.343,1.223,0.404,1.444,0.157,115.26,114.29,2026-09-14 13:30,110.735,110.37,2026-09-18 13:30,bull HH/HL,False,False,1.422,2.276
SMH,2026-09-22 13:30,607.53,571.899,566.98,True,2.652,9.757,3.652,0.847,0.806,580.57,573.209,2026-09-08 09:30,537.73,557.09,2026-09-14 09:30,expanding HH/LL,True,False,-2.763,7.154
